ext4 start
ext4 stopped
thread, filename, pos, length
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-247-16832, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 36864, 4096
